/local/home/dancomar/ijcar26/bench100000/test.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/step2.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr_by3.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/doubling.smt2  ; 1801 1801 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/decrement.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/doubling1.smt2  ; 1801 1801 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/two_base_cases.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr_const.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr_2functions.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/test1.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr_const_arg.smt2  ; 9 9 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/diff_depends_g.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr_2functions_const.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/incr_2functions1.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000f2244194.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000b9aa1da3.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cb96669c.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000a4cc39dd.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/incr_2functions2.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000009ddca87d.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000009d8ef541.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000000bf7747d.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cfced849.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e7959236.smt2  ; 187 187 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000094b03731.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cf175ca2.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000028dabbfe.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e57f233f.smt2  ; 108 108 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000d337cb0a.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000bdb4d395.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e7bb4125.smt2  ; 209 209 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cf36a961.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000005147727c.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cb6c56ef.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000072f9038a.smt2  ; 1801 1801 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_000000006134e577.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000009ef8e6a0.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000ecc8a514.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000832e4218.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000007ba1a89a.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000f379e53d.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000118ecbce.smt2  ; 1338 1338 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_000000003f3bdd85.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000522fff42.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000003b1f4531.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000d083367e.smt2  ; 115 115 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cfffd02a.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000a8738287.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000009a6d2a67.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000de114a96.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000079d5c8fd.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008231cc70.smt2  ; 206 205 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000042a2cfe7.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000cf15acae.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000092731be9.smt2  ; 217 216 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000d57db17f.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000659072aa.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000002e9e6a37.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000007a09f93d.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000003377cbe0.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e3941b71.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000317a6da6.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000203efe40.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008041a559.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000ea31f93c.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000001aaaceb0.smt2  ; 475 475 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_000000009916154f.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000311fb22c.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000079a93138.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000000e4f8958.smt2  ; 107 107 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000c73c0264.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000b96325b2.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000030d8f158.smt2  ; 108 108 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000013e42498.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008d79effa.smt2  ; 50 49 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000073b1b34d.smt2  ; 1801 1801 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000f7a493f4.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000038716dd4.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000007e44bd0f.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000002d0eda86.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000d62786fe.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000049860f96.smt2  ; 154 153 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000fb43c0cd.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000001ac05274.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000003ad6c6.smt2  ; 1800 1800 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e9b21333.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000000eda4a78.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000a085b140.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000003931e455.smt2  ; 110 110 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000b9ceaa84.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000006d1a450c.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008c2c7cac.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000002e97165b.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000008cdf860.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000004ebc4541.smt2  ; 0 0 (s) ; s sat 
