/local/home/dancomar/ijcar26/bench10000/decrement.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/diff_depends_g.smt2 ; 0 (sec); s sat
/local/home/dancomar/ijcar26/bench10000/doubling.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/doubling1.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/incr.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/incr_2functions.smt2 ; 0 (sec); s sat
/local/home/dancomar/ijcar26/bench10000/incr_2functions1.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/incr_2functions2.smt2 ; 0 (sec); s sat
/local/home/dancomar/ijcar26/bench10000/incr_2functions_const.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/incr_by3.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/incr_const.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/incr_const_arg.smt2 ; 0 (sec); s sat
/local/home/dancomar/ijcar26/bench10000/step2.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/test.smt2 ; 2000 (sec); n
/local/home/dancomar/ijcar26/bench10000/test1.smt2 ; 0 (sec); s sat
/local/home/dancomar/ijcar26/bench10000/two_base_cases.smt2 ; 2000 (sec); n
