/local/home/dancomar/ijcar26/bench10000/test.smt2  ; 12 12 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/step2.smt2  ; 11 11 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/incr.smt2  ; 11 11 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/incr_by3.smt2  ; 11 11 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/doubling.smt2  ; 8 8 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/decrement.smt2  ; 11 11 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/doubling1.smt2  ; 8 8 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/two_base_cases.smt2  ; 13 13 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/incr_const.smt2  ; 11 11 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/incr_2functions.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench10000/test1.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench10000/incr_const_arg.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench10000/diff_depends_g.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench10000/incr_2functions_const.smt2  ; 9 9 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/incr_2functions1.smt2  ; 44 44 (s) ; n 
/local/home/dancomar/ijcar26/bench10000/incr_2functions2.smt2  ; 219 219 (s) ; n 
